编号,精灵名称,来源,习得等级,技能属性,技能名,能耗,类别,威力
NO002,喵喵,精灵技能,LV50,草,光能聚集,7,魔攻,100
NO002,喵喵,血脉技能,,普通,星星撞击,2,魔攻,90
NO002,喵喵,血脉技能,,恶,贪婪,2,状态,0
NO002,喵喵,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO002,喵喵,血脉技能,,电,麻痹,2,状态,0
NO002,喵喵,血脉技能,,武,化劲,2,状态,0
NO002,喵喵,血脉技能,,火,引燃,2,状态,0
NO002,喵喵,血脉技能,,幽,勾魂,1,状态,0
NO002,喵喵,血脉技能,,草,荆棘爪,2,物攻,80
NO002,喵喵,血脉技能,,冰,霜降,1,状态,0
NO002,喵喵,血脉技能,,虫,假寐,2,状态,0
NO002,喵喵,血脉技能,,光,虹光冲击,3,魔攻,100
NO002,喵喵,血脉技能,,机械,啮合传递,1,状态,0
NO002,喵喵,血脉技能,,萌,甜心续航,3,状态,0
NO002,喵喵,血脉技能,,幻,超维投射,4,状态,0
NO002,喵喵,血脉技能,,地,泥浆铠甲,2,状态,0
NO002,喵喵,血脉技能,,毒,溃烂触碰,1,物攻,60
NO002,喵喵,血脉技能,,水,蓄水,1,状态,0
NO002,喵喵,血脉技能,,翼,羽化加速,2,状态,0
NO002,喵喵,可学技能石,,普通,借用,0,状态,0
NO002,喵喵,可学技能石,,毒,剧毒,2,状态,0
NO002,喵喵,可学技能石,,光,天光,3,魔攻,95
NO002,喵喵,可学技能石,,普通,应激反应,2,状态,0
NO002,喵喵,可学技能石,,普通,摇篮曲,5,状态,0
NO002,喵喵,可学技能石,,普通,晒太阳,1,状态,0
NO002,喵喵,可学技能石,,毒,毒孢子,3,状态,0
NO002,喵喵,可学技能石,,毒,毒沼,2,物攻,80
NO002,喵喵,可学技能石,,毒,瘴气喷射,3,魔攻,100
NO002,喵喵,可学技能石,,草,移花接木,2,状态,0
NO002,喵喵,可学技能石,,普通,精神扰乱,0,状态,0
NO002,喵喵,可学技能石,,草,纤维化,2,防御,0
NO002,喵喵,可学技能石,,毒,腐化,1,状态,0
NO002,喵喵,可学技能石,,毒,腐蚀酸液,2,魔攻,35
NO002,喵喵,可学技能石,,光,透射,1,物攻,60
NO002,喵喵,可学技能石,,普通,重击,2,物攻,110
NO003,喵呜,精灵技能,LV1,普通,抓挠,0,物攻,35
NO003,喵呜,精灵技能,LV1,普通,休息回复,2,状态,0
NO003,喵呜,精灵技能,LV6,草,棘突,3,魔攻,100
NO003,喵呜,精灵技能,LV7,普通,扫尾,2,物攻,90
NO003,喵呜,精灵技能,LV8,草,藤绞,4,物攻,80
NO003,喵呜,精灵技能,LV10,普通,防御,1,防御,0
NO003,喵呜,精灵技能,LV12,草,徒长,2,状态,0
NO003,喵呜,精灵技能,LV17,草,叶绿光束,4,魔攻,120
NO003,喵呜,精灵技能,LV21,草,酶浓度调整,3,防御,0
NO003,喵呜,精灵技能,LV29,草,筛管奔流,3,物攻,80
NO003,喵呜,精灵技能,LV30,草,盛开,1,状态,0
NO003,喵呜,精灵技能,LV36,草,孢子,3,状态,0
NO003,喵呜,精灵技能,LV42,草,仙人掌刺击,6,物攻,150
NO003,喵呜,精灵技能,LV48,草,丰饶,3,状态,0
NO003,喵呜,精灵技能,LV49,草,光合作用,4,状态,0
NO003,喵呜,精灵技能,LV50,草,光能聚集,7,魔攻,100
NO003,喵呜,血脉技能,,普通,星星撞击,2,魔攻,90
NO003,喵呜,血脉技能,,恶,贪婪,2,状态,0
NO003,喵呜,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO003,喵呜,血脉技能,,电,麻痹,2,状态,0
NO003,喵呜,血脉技能,,武,化劲,2,状态,0
NO003,喵呜,血脉技能,,火,引燃,2,状态,0
NO003,喵呜,血脉技能,,幽,勾魂,1,状态,0
NO003,喵呜,血脉技能,,草,荆棘爪,2,物攻,80
NO003,喵呜,血脉技能,,冰,霜降,1,状态,0
NO003,喵呜,血脉技能,,虫,假寐,2,状态,0
NO003,喵呜,血脉技能,,光,虹光冲击,3,魔攻,100
NO003,喵呜,血脉技能,,机械,啮合传递,1,状态,0
NO003,喵呜,血脉技能,,萌,甜心续航,3,状态,0
NO003,喵呜,血脉技能,,幻,超维投射,4,状态,0
NO003,喵呜,血脉技能,,地,泥浆铠甲,2,状态,0
NO003,喵呜,血脉技能,,毒,溃烂触碰,1,物攻,60
NO003,喵呜,血脉技能,,水,蓄水,1,状态,0
NO003,喵呜,血脉技能,,翼,羽化加速,2,状态,0
NO003,喵呜,可学技能石,,普通,借用,0,状态,0
NO003,喵呜,可学技能石,,毒,剧毒,2,状态,0
NO003,喵呜,可学技能石,,光,天光,3,魔攻,95
NO003,喵呜,可学技能石,,普通,应激反应,2,状态,0
NO003,喵呜,可学技能石,,普通,摇篮曲,5,状态,0
NO003,喵呜,可学技能石,,普通,晒太阳,1,状态,0
NO003,喵呜,可学技能石,,毒,毒孢子,3,状态,0
NO003,喵呜,可学技能石,,毒,毒沼,2,物攻,80
NO003,喵呜,可学技能石,,毒,瘴气喷射,3,魔攻,100
NO003,喵呜,可学技能石,,草,移花接木,2,状态,0
NO003,喵呜,可学技能石,,普通,精神扰乱,0,状态,0
NO003,喵呜,可学技能石,,草,纤维化,2,防御,0
NO003,喵呜,可学技能石,,毒,腐化,1,状态,0
NO003,喵呜,可学技能石,,毒,腐蚀酸液,2,魔攻,35
NO003,喵呜,可学技能石,,光,透射,1,物攻,60
NO003,喵呜,可学技能石,,普通,重击,2,物攻,110
NO004,魔力猫,精灵技能,LV1,普通,抓挠,0,物攻,35
NO004,魔力猫,精灵技能,LV1,普通,休息回复,2,状态,0
NO004,魔力猫,精灵技能,LV6,草,棘突,3,魔攻,100
NO004,魔力猫,精灵技能,LV7,普通,扫尾,2,物攻,90
NO004,魔力猫,精灵技能,LV8,草,藤绞,4,物攻,80
NO004,魔力猫,精灵技能,LV10,普通,防御,1,防御,0
NO004,魔力猫,精灵技能,LV12,草,徒长,2,状态,0
NO004,魔力猫,精灵技能,LV17,草,叶绿光束,4,魔攻,120
NO004,魔力猫,精灵技能,LV21,草,酶浓度调整,3,防御,0
NO004,魔力猫,精灵技能,LV29,草,筛管奔流,3,物攻,80
NO004,魔力猫,精灵技能,LV30,草,盛开,1,状态,0
NO004,魔力猫,精灵技能,LV36,草,孢子,3,状态,0
NO004,魔力猫,精灵技能,LV42,草,仙人掌刺击,6,物攻,150
NO004,魔力猫,精灵技能,LV48,草,丰饶,3,状态,0
NO004,魔力猫,精灵技能,LV49,草,光合作用,4,状态,0
NO004,魔力猫,精灵技能,LV50,草,光能聚集,7,魔攻,100
NO004,魔力猫,血脉技能,,普通,星星撞击,2,魔攻,90
NO004,魔力猫,血脉技能,,恶,贪婪,2,状态,0
NO004,魔力猫,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO004,魔力猫,血脉技能,,电,麻痹,2,状态,0
NO004,魔力猫,血脉技能,,武,化劲,2,状态,0
NO004,魔力猫,血脉技能,,火,引燃,2,状态,0
NO004,魔力猫,血脉技能,,幽,勾魂,1,状态,0
NO004,魔力猫,血脉技能,,草,荆棘爪,2,物攻,80
NO004,魔力猫,血脉技能,,冰,霜降,1,状态,0
NO004,魔力猫,血脉技能,,虫,假寐,2,状态,0
NO004,魔力猫,血脉技能,,光,虹光冲击,3,魔攻,100
NO004,魔力猫,血脉技能,,机械,啮合传递,1,状态,0
NO004,魔力猫,血脉技能,,萌,甜心续航,3,状态,0
NO004,魔力猫,血脉技能,,幻,超维投射,4,状态,0
NO004,魔力猫,血脉技能,,地,泥浆铠甲,2,状态,0
NO004,魔力猫,血脉技能,,毒,溃烂触碰,1,物攻,60
NO004,魔力猫,血脉技能,,水,蓄水,1,状态,0
NO004,魔力猫,血脉技能,,翼,羽化加速,2,状态,0
NO004,魔力猫,可学技能石,,普通,借用,0,状态,0
NO004,魔力猫,可学技能石,,毒,剧毒,2,状态,0
NO004,魔力猫,可学技能石,,光,天光,3,魔攻,95
NO004,魔力猫,可学技能石,,普通,应激反应,2,状态,0
NO004,魔力猫,可学技能石,,普通,摇篮曲,5,状态,0
NO004,魔力猫,可学技能石,,普通,晒太阳,1,状态,0
NO004,魔力猫,可学技能石,,毒,毒孢子,3,状态,0
NO004,魔力猫,可学技能石,,毒,毒沼,2,物攻,80
NO004,魔力猫,可学技能石,,毒,瘴气喷射,3,魔攻,100
NO004,魔力猫,可学技能石,,草,移花接木,2,状态,0
NO004,魔力猫,可学技能石,,普通,精神扰乱,0,状态,0
NO004,魔力猫,可学技能石,,草,纤维化,2,防御,0
NO004,魔力猫,可学技能石,,毒,腐化,1,状态,0
NO004,魔力猫,可学技能石,,毒,腐蚀酸液,2,魔攻,35
NO004,魔力猫,可学技能石,,光,透射,1,物攻,60
NO004,魔力猫,可学技能石,,普通,重击,2,物攻,110
NO005,火花,精灵技能,LV1,普通,猛烈撞击,1,物攻,65
NO005,火花,精灵技能,LV1,火,火苗,0,物攻,30
NO005,火花,精灵技能,LV6,普通,力量增效,1,状态,0
NO005,火花,精灵技能,LV8,火,火焰切割,3,物攻,100
NO005,火花,精灵技能,LV10,普通,防御,1,防御,0
NO005,火花,精灵技能,LV12,火,吹火,1,物攻,50
NO005,火花,精灵技能,LV17,普通,晒太阳,1,状态,0
NO005,火花,精灵技能,LV21,火,怒火,1,状态,0
NO005,火花,精灵技能,LV29,火,持续高温,2,魔攻,70
NO005,火花,精灵技能,LV30,火,火云车,5,物攻,140
NO005,火花,精灵技能,LV36,火,热身,1,状态,0
NO005,火花,精灵技能,LV42,火,闪燃,1,物攻,40
NO005,火花,精灵技能,LV48,火,山火,3,物攻,15
NO005,火花,血脉技能,,普通,星星撞击,2,魔攻,90
NO005,火花,血脉技能,,恶,恶能量,1,物攻,60
NO005,火花,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO005,火花,血脉技能,,电,球状闪电,1,物攻,60
NO005,火花,血脉技能,,武,缠丝劲,1,物攻,25
NO005,火花,血脉技能,,火,火焰箭,2,物攻,80
NO005,火花,血脉技能,,幽,灵媒,3,魔攻,100
NO005,火花,血脉技能,,草,花香,1,魔攻,60
NO005,火花,血脉技能,,冰,冰爪,2,物攻,80
NO005,火花,血脉技能,,虫,噬心,1,物攻,60
NO005,火花,血脉技能,,光,透射,1,物攻,60
NO005,火花,血脉技能,,机械,械斗,1,物攻,45
NO005,火花,血脉技能,,萌,碰爪,1,物攻,60
NO005,火花,血脉技能,,幻,星云漩涡,1,物攻,60
NO005,火花,血脉技能,,地,跺地,2,物攻,80
NO005,火花,血脉技能,,毒,毒沼,2,物攻,80
NO005,火花,血脉技能,,水,泡沫,1,物攻,60
NO005,火花,血脉技能,,翼,鹰爪,1,物攻,60
NO005,火花,可学技能石,,翼,乘风,2,状态,0
NO005,火花,可学技能石,,恶,力量吞噬,4,状态,0
NO005,火花,可学技能石,,普通,压扁,5,物攻,155
NO005,火花,可学技能石,,普通,复写,0,状态,0
NO005,火花,可学技能石,,翼,扇风,3,物攻,75
NO005,火花,可学技能石,,恶,暗突袭,4,物攻,70
NO005,火花,可学技能石,,普通,精神扰乱,0,状态,0
NO005,火花,可学技能石,,恶,诋毁,2,物攻,80
NO005,火花,可学技能石,,普通,锐利眼神,2,状态,0
NO005,火花,可学技能石,,普通,阻断,2,魔攻,80
NO005,火花,可学技能石,,翼,风矢,2,物攻,80
NO005,火花,可学技能石,,龙,龙之利爪,3,物攻,130
NO005,火花,可学技能石,,翼,龙卷风,5,物攻,70
NO006,焰火,精灵技能,LV1,普通,猛烈撞击,1,物攻,65
NO006,焰火,精灵技能,LV1,火,火苗,0,物攻,30
NO006,焰火,精灵技能,LV6,普通,力量增效,1,状态,0
NO006,焰火,精灵技能,LV8,火,火焰切割,3,物攻,100
NO006,焰火,精灵技能,LV10,普通,防御,1,防御,0
NO006,焰火,精灵技能,LV12,火,吹火,1,物攻,50
NO006,焰火,精灵技能,LV17,普通,晒太阳,1,状态,0
NO006,焰火,精灵技能,LV21,火,怒火,1,状态,0
NO006,焰火,精灵技能,LV29,火,持续高温,2,魔攻,70
NO006,焰火,精灵技能,LV30,火,火云车,5,物攻,140
NO006,焰火,精灵技能,LV36,火,热身,1,状态,0
NO006,焰火,精灵技能,LV42,火,闪燃,1,物攻,40
NO006,焰火,精灵技能,LV48,火,山火,3,物攻,15
NO006,焰火,血脉技能,,普通,星星撞击,2,魔攻,90
NO006,焰火,血脉技能,,恶,恶能量,1,物攻,60
NO006,焰火,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO006,焰火,血脉技能,,电,球状闪电,1,物攻,60
NO006,焰火,血脉技能,,武,缠丝劲,1,物攻,25
NO006,焰火,血脉技能,,火,火焰箭,2,物攻,80
NO006,焰火,血脉技能,,幽,灵媒,3,魔攻,100
NO006,焰火,血脉技能,,草,花香,1,魔攻,60
NO006,焰火,血脉技能,,冰,冰爪,2,物攻,80
NO006,焰火,血脉技能,,虫,噬心,1,物攻,60
NO006,焰火,血脉技能,,光,透射,1,物攻,60
NO006,焰火,血脉技能,,机械,械斗,1,物攻,45
NO006,焰火,血脉技能,,萌,碰爪,1,物攻,60
NO006,焰火,血脉技能,,幻,星云漩涡,1,物攻,60
NO006,焰火,血脉技能,,地,跺地,2,物攻,80
NO006,焰火,血脉技能,,毒,毒沼,2,物攻,80
NO006,焰火,血脉技能,,水,泡沫,1,物攻,60
NO006,焰火,血脉技能,,翼,鹰爪,1,物攻,60
NO006,焰火,可学技能石,,翼,乘风,2,状态,0
NO006,焰火,可学技能石,,恶,力量吞噬,4,状态,0
NO006,焰火,可学技能石,,普通,压扁,5,物攻,155
NO006,焰火,可学技能石,,普通,复写,0,状态,0
NO006,焰火,可学技能石,,翼,扇风,3,物攻,75
NO006,焰火,可学技能石,,恶,暗突袭,4,物攻,70
NO006,焰火,可学技能石,,普通,精神扰乱,0,状态,0
NO006,焰火,可学技能石,,恶,诋毁,2,物攻,80
NO006,焰火,可学技能石,,普通,锐利眼神,2,状态,0
NO006,焰火,可学技能石,,普通,阻断,2,魔攻,80
NO006,焰火,可学技能石,,翼,风矢,2,物攻,80
NO006,焰火,可学技能石,,龙,龙之利爪,3,物攻,130
NO006,焰火,可学技能石,,翼,龙卷风,5,物攻,70
NO007,火神,精灵技能,LV1,普通,猛烈撞击,1,物攻,65
NO007,火神,精灵技能,LV1,火,火苗,0,物攻,30
NO007,火神,精灵技能,LV6,普通,力量增效,1,状态,0
NO007,火神,精灵技能,LV8,火,火焰切割,3,物攻,100
NO007,火神,精灵技能,LV10,普通,防御,1,防御,0
NO007,火神,精灵技能,LV12,火,吹火,1,物攻,50
NO007,火神,精灵技能,LV17,普通,晒太阳,1,状态,0
NO007,火神,精灵技能,LV21,火,怒火,1,状态,0
NO007,火神,精灵技能,LV29,火,持续高温,2,魔攻,70
NO007,火神,精灵技能,LV30,火,火云车,5,物攻,140
NO007,火神,精灵技能,LV36,火,热身,1,状态,0
NO007,火神,精灵技能,LV42,火,闪燃,1,物攻,40
NO007,火神,精灵技能,LV48,火,山火,3,物攻,15
NO007,火神,血脉技能,,普通,星星撞击,2,魔攻,90
NO007,火神,血脉技能,,恶,恶能量,1,物攻,60
NO007,火神,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO007,火神,血脉技能,,电,球状闪电,1,物攻,60
NO007,火神,血脉技能,,武,缠丝劲,1,物攻,25
NO007,火神,血脉技能,,火,火焰箭,2,物攻,80
NO007,火神,血脉技能,,幽,灵媒,3,魔攻,100
NO007,火神,血脉技能,,草,花香,1,魔攻,60
NO007,火神,血脉技能,,冰,冰爪,2,物攻,80
NO007,火神,血脉技能,,虫,噬心,1,物攻,60
NO007,火神,血脉技能,,光,透射,1,物攻,60
NO007,火神,血脉技能,,机械,械斗,1,物攻,45
NO007,火神,血脉技能,,萌,碰爪,1,物攻,60
NO007,火神,血脉技能,,幻,星云漩涡,1,物攻,60
NO007,火神,血脉技能,,地,跺地,2,物攻,80
NO007,火神,血脉技能,,毒,毒沼,2,物攻,80
NO007,火神,血脉技能,,水,泡沫,1,物攻,60
NO007,火神,血脉技能,,翼,鹰爪,1,物攻,60
NO007,火神,可学技能石,,翼,乘风,2,状态,0
NO007,火神,可学技能石,,恶,力量吞噬,4,状态,0
NO007,火神,可学技能石,,普通,压扁,5,物攻,155
NO007,火神,可学技能石,,普通,复写,0,状态,0
NO007,火神,可学技能石,,翼,扇风,3,物攻,75
NO007,火神,可学技能石,,恶,暗突袭,4,物攻,70
NO007,火神,可学技能石,,普通,精神扰乱,0,状态,0
NO007,火神,可学技能石,,恶,诋毁,2,物攻,80
NO007,火神,可学技能石,,普通,锐利眼神,2,状态,0
NO007,火神,可学技能石,,普通,阻断,2,魔攻,80
NO007,火神,可学技能石,,翼,风矢,2,物攻,80
NO007,火神,可学技能石,,龙,龙之利爪,3,物攻,130
NO007,火神,可学技能石,,翼,龙卷风,5,物攻,70
NO008,水蓝蓝,精灵技能,LV1,普通,防御,1,防御,0
NO008,水蓝蓝,精灵技能,LV1,普通,拍击,1,魔攻,65
NO008,水蓝蓝,精灵技能,LV6,水,甩水,0,魔攻,30
NO008,水蓝蓝,精灵技能,LV8,水,气泡,3,魔攻,100
NO008,水蓝蓝,精灵技能,LV10,普通,魔法增效,0,状态,0
NO008,水蓝蓝,精灵技能,LV12,水,水泡盾,2,防御,0
NO008,水蓝蓝,精灵技能,LV17,水,水炮,5,魔攻,110
NO008,水蓝蓝,精灵技能,LV21,水,洗礼,1,状态,0
NO008,水蓝蓝,精灵技能,LV29,水,泡沫幻影,2,防御,0
NO008,水蓝蓝,精灵技能,LV30,水,涌泉,6,魔攻,60
NO008,水蓝蓝,精灵技能,LV36,水,落雨,5,状态,0
NO008,水蓝蓝,精灵技能,LV42,水,潮汐,4,防御,0
NO008,水蓝蓝,精灵技能,LV48,水,天洪,7,魔攻,150
NO008,水蓝蓝,血脉技能,,普通,防反,2,防御,0
NO008,水蓝蓝,血脉技能,,恶,等价交换,3,防御,0
NO008,水蓝蓝,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO008,水蓝蓝,血脉技能,,电,集中,2,防御,0
NO008,水蓝蓝,血脉技能,,武,反击拳,2,物攻,25
NO008,水蓝蓝,血脉技能,,火,火焰护盾,2,防御,0
NO008,水蓝蓝,血脉技能,,幽,虚化,2,防御,0
NO008,水蓝蓝,血脉技能,,草,蜡质膜,2,防御,0
NO008,水蓝蓝,血脉技能,,冰,雪替身,2,防御,0
NO008,水蓝蓝,血脉技能,,虫,掩护,2,防御,0
NO008,水蓝蓝,血脉技能,,光,虹光冲击,3,魔攻,100
NO008,水蓝蓝,血脉技能,,机械,离子震荡,3,魔攻,90
NO008,水蓝蓝,血脉技能,,萌,魅惑,1,魔攻,60
NO008,水蓝蓝,血脉技能,,幻,冥想,3,防御,0
NO008,水蓝蓝,血脉技能,,地,淤泥表皮,2,防御,0
NO008,水蓝蓝,血脉技能,,毒,毒沼,2,物攻,80
NO008,水蓝蓝,血脉技能,,水,水弹枪,2,魔攻,80
NO008,水蓝蓝,血脉技能,,翼,羽翼庇护,3,防御,0
NO008,水蓝蓝,可学技能石,,普通,借用,0,状态,0
NO008,水蓝蓝,可学技能石,,冰,冰墙,2,防御,0
NO008,水蓝蓝,可学技能石,,冰,冰天雪地,2,防御,0
NO008,水蓝蓝,可学技能石,,冰,冷风,1,魔攻,60
NO008,水蓝蓝,可学技能石,,普通,吓退,2,防御,0
NO008,水蓝蓝,可学技能石,,普通,嗜痛,2,防御,0
NO008,水蓝蓝,可学技能石,,幻,多维击打,4,魔攻,15
NO008,水蓝蓝,可学技能石,,冰,寒风吹,3,魔攻,70
NO008,水蓝蓝,可学技能石,,普通,有效预防,1,防御,0
NO008,水蓝蓝,可学技能石,,水,水波术,6,魔攻,90
NO008,水蓝蓝,可学技能石,,普通,突袭,2,魔攻,70
NO008,水蓝蓝,可学技能石,,冰,速冻,4,状态,0
NO008,水蓝蓝,可学技能石,,普通,魔能爆,0,魔攻,191
NO009,波波拉,精灵技能,LV1,普通,防御,1,防御,0
NO009,波波拉,精灵技能,LV1,普通,拍击,1,魔攻,65
NO009,波波拉,精灵技能,LV6,水,甩水,0,魔攻,30
NO009,波波拉,精灵技能,LV8,水,气泡,3,魔攻,100
NO009,波波拉,精灵技能,LV10,普通,魔法增效,0,状态,0
NO009,波波拉,精灵技能,LV12,水,水泡盾,2,防御,0
NO009,波波拉,精灵技能,LV17,水,水炮,5,魔攻,110
NO009,波波拉,精灵技能,LV21,水,洗礼,1,状态,0
NO009,波波拉,精灵技能,LV29,水,泡沫幻影,2,防御,0
NO009,波波拉,精灵技能,LV30,水,涌泉,6,魔攻,60
NO009,波波拉,精灵技能,LV36,水,落雨,5,状态,0
NO009,波波拉,精灵技能,LV42,水,潮汐,4,防御,0
NO009,波波拉,精灵技能,LV48,水,天洪,7,魔攻,150
NO009,波波拉,血脉技能,,普通,防反,2,防御,0
NO009,波波拉,血脉技能,,恶,等价交换,3,防御,0
NO009,波波拉,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO009,波波拉,血脉技能,,电,集中,2,防御,0
NO009,波波拉,血脉技能,,武,反击拳,2,物攻,25
NO009,波波拉,血脉技能,,火,火焰护盾,2,防御,0
NO009,波波拉,血脉技能,,幽,虚化,2,防御,0
NO009,波波拉,血脉技能,,草,蜡质膜,2,防御,0
NO009,波波拉,血脉技能,,冰,雪替身,2,防御,0
NO009,波波拉,血脉技能,,虫,掩护,2,防御,0
NO009,波波拉,血脉技能,,光,虹光冲击,3,魔攻,100
NO009,波波拉,血脉技能,,机械,离子震荡,3,魔攻,90
NO009,波波拉,血脉技能,,萌,魅惑,1,魔攻,60
NO009,波波拉,血脉技能,,幻,冥想,3,防御,0
NO009,波波拉,血脉技能,,地,淤泥表皮,2,防御,0
NO009,波波拉,血脉技能,,毒,毒沼,2,物攻,80
NO009,波波拉,血脉技能,,水,水弹枪,2,魔攻,80
NO009,波波拉,血脉技能,,翼,羽翼庇护,3,防御,0
NO009,波波拉,可学技能石,,普通,借用,0,状态,0
NO009,波波拉,可学技能石,,冰,冰墙,2,防御,0
NO009,波波拉,可学技能石,,冰,冰天雪地,2,防御,0
NO009,波波拉,可学技能石,,冰,冷风,1,魔攻,60
NO009,波波拉,可学技能石,,普通,吓退,2,防御,0
NO009,波波拉,可学技能石,,普通,嗜痛,2,防御,0
NO009,波波拉,可学技能石,,幻,多维击打,4,魔攻,15
NO009,波波拉,可学技能石,,冰,寒风吹,3,魔攻,70
NO009,波波拉,可学技能石,,普通,有效预防,1,防御,0
NO009,波波拉,可学技能石,,水,水波术,6,魔攻,90
NO009,波波拉,可学技能石,,普通,突袭,2,魔攻,70
NO009,波波拉,可学技能石,,冰,速冻,4,状态,0
NO009,波波拉,可学技能石,,普通,魔能爆,0,魔攻,191
NO010,水灵,精灵技能,LV1,普通,防御,1,防御,0
NO010,水灵,精灵技能,LV1,普通,拍击,1,魔攻,65
NO010,水灵,精灵技能,LV6,水,甩水,0,魔攻,30
NO010,水灵,精灵技能,LV8,水,气泡,3,魔攻,100
NO010,水灵,精灵技能,LV10,普通,魔法增效,0,状态,0
NO010,水灵,精灵技能,LV12,水,水泡盾,2,防御,0
NO010,水灵,精灵技能,LV17,水,水炮,5,魔攻,110
